ReportName,Genus,Species,ssp,Common Name,Shorthand
Fireweed,Chamaenerion,angustifolium,,Fireweed,C. angustifolium
Dryas,Dryas,integrifolia,,Mountain Avens,D. integrifolia
Hedysarium,Hedysarum,sulphurescens,,White sweetvetch,H. sulphurescens
Camas,Anticlea,elegans,,Mountain Death Camas,A. elegans
Saxifrag,Saxifraga,bronchialis,austromontana,Yellow dot saxifrag,S. bronchialis
Crocus,Anemone,narcissiflora,,Alpine anemone or prarie crocus,A. narcissiflora
Sedum,Sedum,lanceolatum,,Lance-leave Stonecrop,S. lanceolatum
Red Sedum,Rhodiola,integrifolia,integrifolia,Western Roseroot,R. integrifolia
Grass,Poa,spp.,,Misc Grasses,Poa spp.
Arnica,Arnica,angustifolia,,Narrowleaved Arnica,A. angustifolia
Goldenrod,Solidago,multiradiata,,Northern Goldenrod,S. multiradiata
Cinque,Potentilla,gracilis,,Cinquefoil,P. gracilis
Yellow Paintbrush,Castilleja,rhexifolia,,Alpine paintbrush,C. rhexifolia
Gallium,Galium,boreale,,Northern Bedstraw,G. boreale
Shrub Cinque,Dasiphora,fruticosa,,Shrubby cinquefoil,D. fruticosa
Tiny Mustard,Draba,aurea,,Golden Draba,D. aurea
Purple Locoweed,Oxytropis,Borealis,viscida,Sticky Locoweed,O. Borealis
Dock,Oxyria,digyna,,Mountain Sorrel,O. digyna
Rumex,Rumex,pauciflorus,,,R. pauciflorus
Groundsorel,Packera,pauciflora,,alpine groundsel,P. pauciflora
Yarrow,Achillea,millefolium,,Yarrow,A. millefolium
Blue bell,Campanula,alpenstris,,Alpine bluebell,C. alpenstris
False Dandelion,Agoseris,sp.,,False Dandelion,Agoseris spp. 
Alpine Sage,Artemisia,borealis,,Boreal Sage,A. borealis
Tufted Saxifrag,Micranthes,nivalis,,Red-stemmed saxifrag,M. nivalis
Buckwheat,Eriogonum,umbellatum,majus,Sub-alpine buckwheat,E. umbellatum
Wooly Pussytoes,Antennaria,lanata,,Wooly Pussy Toes,A. lanata
Mouse-eared cres,Saxifraga,cespitosa,,Tufted Saxifrag,S. cespitosa
Phacelia,Phacelia,sericea,,Silky Phacelia,P. sericea
Fleabane,Erigeron,caespitosus,,Tufted Fleabane,E. caespitosus
Sandwort,Arenaria,capillaris,americana,Mountain Sandwort,A. capillaris
Wild Rose,Rosa,acicularis,,Wild Rose,R. acicularis
Sticky Bronze Bells,Silene,uralensis,,Nodding Campion,S. uralensis
Strawberry,Fragaria,vesca,,Wild Strawberry,F. vesca
Tiny pussytoes,Antennaria,media,,Rocky mountain pussy toes,A. media
Valerian,Penstemon,procerus,,Littleflower Penstemon,P. procerus
Lepydium,Boechera,stricta,,Uptight suncress,B. stricta
White Locoweed,Oxytropis,campestris,,Field locoweed,O. campestris
Scarlette Paintbrush,Castilleja,miniata,,Red paintbrush,C. miniata
Onion,Allium,sp.,,Wild Onion,Allium spp.
Bearberry,Arctostaphylos,uva-ursi,,Bearberry,A. uva-ursi
Snow Cinque,Potentilla,Nivea,,Snow Cinquefoil,P. Nivea
Other Saxifrag,Saxifraga,cernua,,Nodding Saxifrage,S. cernua
Juniper,Juniperus,sp.,,Juniper,Juniper spp.
White Jacob Ladder,Polemonium,brandegeei,,Honey Polemonium,P. brandegeei
Ground Dock,Parnassia,fimbriata,,Grass-of-Parnassus,P. fimbriata
Larkspur,Delphinium,glaucum,,Tall Larkspur,D. glaucum
Bistort,Bistorta,vivipara,,Alpine Bistort,B. vivipara
