Meadow,Quadrat,Lat,Lon,x-map,y-map
R,1,50.958117,-114.880829,30.8,13.6
R,2,50.958004,-114.880867,30.7,13.3
R,3,50.958208,-114.881091,30.2,13.7
R,4,50.95798,-114.883147,29.1,13.2
R,5,50.957763,-114.88344,28.8,13
g,1,50.974134,-114.924392,2.2,29.8
g,2,50.973874,-114.924256,2.3,29.6
g,3,50.973826,-114.923952,2.5,29.5
g,4,50.973747,-114.923899,2.5,29.4
g,5,50.96362,-114.924042,2.4,29.3
K,1,50.96208,-114.91915,5.7,17.2
K,2,50.96209,-114.91868,6.4,17.1
K,3,50.96243,-114.91896,6.2,17.5
K,4,50.96087,-114.9187,6.3,18.1
K,5,50.96301,-114.91929,5.6,18.4
J,1,50.957004,114.91801,6.3,12.2
J,2,50.957737,-114.91799,6.5,13.1
J,3,50.957983,-114.91764,6.6,13.2
J,4,50.958476,-114.918003,6,14
J,5,50.95896,-114.91838,5.8,15.1
Y,1,50.979575,-114.919689,5.5,35.2
Y,2,50.97977,-114.920092,5.1,35.5
Y,3,50.98012,-114.920364,4.9,35.8
Z,1,50.982481,-114.909344,11,38.5
Z,2,50.982131,-114.909986,10.8,38.3
Z,3,50.981508,-114.909617,10.9,37.8
Z,4,50.980221,-114.909829,10.7,36.5
Z,5,50.981504,-114.910817,10.1,37.4
F,1,50.97687,-114.92474,2.4,32.2
F,2,50.97716,-114.92459,2.5,32.3
F,3,50.97734,-114.92415,2.8,32.7
F,4,50.97697,-114.9237,3,32.1
F,5,50.97677,-114.92341,3.3,31.8
G,1,50.97422,-114.92591,1.4,29.6
G,2,50.97387,-114.9256,1.6,29.3
G,3,50.97341,-114.92582,1.5,28.9
G,4,50.97392,-114.92507,1.9,29.7
G,5,50.97317,-114.92522,1.8,28.5
L,1,50.95168,-114.91093,11.2,6.8
L,2,50.95224,-114.91168,10.9,7.2
L,3,50.95265,-114.91234,9.9,8
L,4,50.95298,-114.9127,9.6,8.2
L,5,50.95308,-114.9133,9.3,8.4
O,1,50.954838,-114.898201,19.6,9.9
O,2,50.954747,-114.897896,19.8,9.8
O,3,50.955298,-114.8968,20.6,10.4
O,4,50.9557,-114.896897,20.2,10.9
O,5,50.955577,-114.896593,20.8,10.8
